id;DS100;name;VERKEHR;longitude;latitude
8005628;RSP;Speyer Hbf;RV;8.427949;49.324119
8005626;RSPN;Speyer Nord-West;RV;8.419263;49.333592
8005629;KSPI;Spich;RV;7.114916;50.826727
8005630;NSPU;Spiegelau;nur DPN;13.35926;48.917723
8079048;RSPG;Spielberg;RV;8.474626;48.897652
8013017;WSP;Sponholz;RV;13.366401;53.563854
8013018;WSPO;Spornitz;nur DPN;11.710976;53.412351
8010330;BSP;Spremberg;nur DPN;14.397498;51.574757
8005637;FSPRS;Sprendlingen(Rheinhess);RV;7.981795;49.858947
8005638;HSPR;Springe;RV;9.556238;52.21515
8005640;ASP;Sprötze;nur DPN;9.812245;53.309429
8005639;MSAB;St Alban;nur DPN;11.105359;47.964133
8070767;;St Augustin Kloster;nur DPN;7.184995;50.773797
8070025;KB  M;St Augustin Markt;nur DPN;7.187892;50.776658
8070766;;St Augustin Ort;nur DPN;7.180421;50.770262
8070768;;St Augustin-Mülldorf;nur DPN;7.193457;50.784734
8010331;DEG;St Egidien;RV;12.622556;50.789568
8005644;RSGO;St Georgen(Schwarzw);FV;8.341955;48.123813
8005645;FSGO;St Goar;RV;7.714587;50.150155
8005646;FSGH;St Goarshausen;nur DPN;7.714246;50.156035
8005648;RSIG;St Ilgen-Sandhausen;RV;8.668715;49.341268
8005649;SSI;St Ingbert;RV;7.110814;49.274763
8005652;MKL;St Koloman;RV;11.882965;48.243747
8005653;MMG;St Mang;RV;10.325539;47.708899
8005655;ASD;St Michaelisdonn;nur DPN;9.118006;53.98962
8005656;MOTN;St Ottilien;nur DPN;11.04839;48.094544
8005658;SSTO;St Thomas;RV;6.601076;50.069788
8005659;SSWD;St Wendel;RV;7.165293;49.466952
8000089;AST;Stade;RV;9.477008;53.596143
8013022;DWH;Stadt Wehlen(Sachs);RV;14.032242;50.953718
8005661;FSTA;Stadtallendorf;FV;9.015278;50.825432
8005662;HSHG;Stadthagen;RV;9.189426;52.332837
8013023;USTM;Stadtilm;nur DPN;11.070817;50.766956
8005665;HSDF;Stadtoldendorf;nur DPN;9.620519;51.881002
8005666;NSPO;Stadtprozelten;RV;9.410979;49.783595
8013025;USR;Stadtroda;RV;11.722792;50.868216
8005668;FST;Staffel;nur DPN;8.04595;50.39953
8077773;RST;Stahringen;RV;8.976275;47.787663
8005673;SSTB;Stambach;RV;7.456623;49.239171
8005674;NSM;Stammbach;RV;11.704894;50.154633
8013432;LSBU;Stapelburg;nur DPN;10.671721;51.900281
8005676;MST;Starnberg;RV;11.34367;47.995963
8005675;MSNO;Starnberg Nord;RV;11.347386;48.005975
8010332;LSF;Staßfurt;RV;11.587898;51.851258
8013029;DSTU;Stauchitz;RV;13.21192;51.242914
8005678;SSTH;Staudernheim;nur DPN;7.693103;49.780582
8007332;RSTF;Staufen;nur DPN;7.728343;47.885027
8007333;RSTS;Staufen Süd;nur DPN;7.729681;47.877635
8005682;HSTF;Stederdorf(Kr Uelzen);RV;10.592702;52.907428
8005686;NSWH;Stegenwaldhaus;nur DPN;11.796809;50.31626
8011847;WHDS;Steilküste/Wittenbeck;nur DPN;11.793771;54.144768
8005687;MSTN;Stein(Traun);RV;12.546124;47.985354
8013033;DSTI;Steina;RV;13.022657;51.103359
8000091;NSTN;Steinach(b Rothenburg ob der Tauber);FV;10.273535;49.453218
8005688;RSNA;Steinach(Baden);RV;8.056469;48.298992
8013034;USTN;Steinach(Thür);nur DPN;11.158933;50.432556
8013036;USTA;Steinach(Thür)Süd;nur DPN;11.166781;50.423051
8005689;SSTA;Steinalben;RV;7.651484;49.316247
8005690;FSA;Steinau(Straße);RV;9.443162;50.314349
8079137;DSTB;Steinbach (bei Jöhstadt);nur DPN;13.149352;50.557187
8005692;NSD;Steinbach am Wald;RV;11.382922;50.441648
8079139;DSTG;Steinbach(b Jöhstadt) Stolln;nur DPN;13.136866;50.545929
8079238;DWBA;Steinbach(b Jöhstadt) Wildbach;nur DPN;13.142457;50.551153
8013037;USTH;Steinbach-Hallenberg;RV;10.558086;50.693163
8005699;MSA;Steinebach;RV;11.206812;48.061184
8005700;FSFZ;Steinefrenz;nur DPN;7.938888;50.44842
8005701;RSTN;Steinen;RV;7.741561;47.641604
8017025;LSR;Steinerne Renne;nur DPN;10.727011;51.8167
8005703;HSFD;Steinfeld(Oldb);nur DPN;8.198151;52.592797
8007858;RSFL;Steinfeld(Pfalz);RV;8.039369;49.044675
8013039;LSFD;Steinfeld(Stendal);RV;11.728617;52.614734
8001096;EBGO;Steinfurt-Borghorst;RV;7.397539;52.118737
8000062;EBFT;Steinfurt-Burgsteinfurt;RV;7.32934;52.147384
8005712;EGRK;Steinfurt-Grottenkamp;RV;7.375921;52.123249
8005704;ESTG;Steinhagen(Westf);nur DPN;8.420787;52.017419
8005702;ESBS;Steinhagen(Westf) Bielef. Str.;nur DPN;8.436453;52.011416
8013040;WSNB;Steinhausen-Neuburg;RV;11.596334;53.942319
8005706;FSHM;Steinheim(Main);RV;8.906852;50.121369
8005708;HSTM;Steinheim(Westf);RV;9.088447;51.868177
8005709;MSHG;Steinhöring;RV;12.031284;48.083487
